id,played_at,tournament,map,game_length,winner,matchup,p1_max_collection_rate,p2_max_collection_rate,p1_apm,p2_apm,p1_spm,p2_spm,p1_workers_produced,p2_workers_produced,p1_workers_killed,p2_workers_killed,p1_workers_lost,p2_workers_lost,p1_supply_block,p2_supply_block,p1_sq,p2_sq,p1_avg_pac_per_min,p2_avg_pac_per_min,p1_avg_pac_action_latency,p2_avg_pac_action_latency,p1_avg_pac_actions,p2_avg_pac_actions,p1_avg_pac_gap,p2_avg_pac_gap,p1_avg_collection_rate_minerals,p1_avg_unspent_minerals,p1_minerals_lost,p1_minerals_collected,p2_avg_collection_rate_minerals,p2_avg_unspent_minerals,p2_minerals_lost,p2_minerals_collected,p1_avg_collection_rate_gas,p1_avg_unspent_gas,p1_gas_lost,p1_gas_collected,p2_avg_collection_rate_gas,p2_avg_unspent_gas,p2_gas_lost,p2_gas_collected,p1_race,p2_race
0205bd314da54b6fb363a998ca0c49ba,2022-02-25 03:01:50+00:00,IEM Katowice,2000 애트모스피어 - 래더,848,2,TvT,3778,3952,316,398,26.3,47.4,75,94,18,17,17,18,75,70,134,142,34.79,39.74,0.23,0.16,8.11,9.01,0.06,0.13,1808.2,241.2,10341,25162,1920.9,294.7,9371,26433,533.8,273.8,3436,6384,636.3,253.2,2864,7412,Terran,Terran
7ca6c874c8064364b4247780495fe4f2,2021-10-17 05:11:18+00:00,DH Masters Winter,Beckett Industries LE,612,1,PvZ,4344,3140,398,323,42.9,27.8,97,67,22,21,21,22,30,30,126,119,53.99,34.69,0.16,0.19,6.65,8.0,0.06,0.08,1938.9,473.6,3075,20305,1479.4,241.5,2050,14590,473.9,236.7,625,4265,427.4,201.3,850,3665,Zerg,Protoss
92ccfb1330424a4fb572585b8d6ea4c9,2021-10-10 01:50:23+00:00,DH Masters Winter,Beckett Industries LE,486,2,PvZ,3095,2944,389,244,35.9,38.2,80,60,11,17,17,11,20,95,118,120,37.13,37.99,0.15,0.25,9.47,5.95,0.06,0.06,1563.7,232.1,4200,13525,1397.8,163.6,500,11850,226.5,157.6,800,1668,336.1,170.0,75,2436,Zerg,Protoss
d592c15de2a94b6aa5278b0fc241de54,2022-02-25 04:27:49+00:00,IEM Katowice,[ESL] Berlingrad,1078,2,PvZ,4064,4193,449,468,40.2,53.1,77,134,68,30,30,68,15,20,138,117,44.39,50.07,0.18,0.16,9.02,8.06,0.06,0.1,2107.6,535.6,13650,37470,2102.5,1425.1,10649,35350,749.7,401.2,5850,11682,892.6,664.5,3850,13344,Protoss,Zerg
6a24b0487aef460a982d2ec930947c11,2021-12-15 19:17:24+00:00,DH Masters Last Chance,블랙번 - 래더,1001,1,PvZ,4484,4243,627,285,37.6,31.0,98,79,24,25,25,24,25,95,169,147,47.99,43.26,0.1,0.19,11.5,5.68,0.04,0.09,2306.8,259.8,21675,37048,1860.6,293.5,14850,30780,826.1,299.8,8975,11930,675.6,174.5,8200,10256,Zerg,Protoss
e860054763c0448184ebfe83fa2cb61f,2021-10-10 00:46:07+00:00,DH Masters Winter,2000 Atmospheres LE,827,1,PvP,3515,3986,254,334,59.2,38.4,78,101,100,57,57,100,100,40,106,108,52.73,47.44,0.22,0.19,4.23,6.21,0.11,0.1,1449.5,398.0,3500,19745,1401.7,203.2,5600,19125,475.9,254.7,1925,6452,257.9,221.2,2000,2836,Protoss,Protoss
d759b8164c0546e68ea81262237380d2,2021-10-10 19:09:08+00:00,DH Masters Winter,光影交错-天梯版,499,2,TvP,3140,2619,249,333,37.6,35.2,55,51,25,1,1,25,25,30,123,114,34.99,39.68,0.28,0.15,5.93,7.69,0.13,0.04,1424.4,177.1,2600,12550,1159.8,155.9,1103,10095,319.6,138.7,850,2386,247.8,102.0,352,1840,Protoss,Terran
824a29b6656f4d3aa1216a3caf269a78,2021-10-09 06:06:58+00:00,DH Masters Winter,Blackburn LE,2507,1,TvZ,4641,3880,412,327,23.0,19.5,132,202,180,111,111,180,85,95,19,75,46.09,33.48,0.15,0.2,7.67,8.22,0.09,0.04,1678.6,11411.8,25825,64220,1589.9,1031.0,31875,60572,702.9,3224.1,13675,24460,630.9,1365.0,17575,22012,Zerg,Terran
5981975dad4b471d89bf0de7277df5d9,2021-10-17 05:27:39+00:00,DH Masters Winter,Oxide LE,913,2,PvZ,3532,3952,355,459,28.6,32.2,85,88,21,55,55,21,45,20,138,145,41.65,50.59,0.17,0.14,6.9,8.09,0.07,0.08,1735.3,261.4,14475,25970,2127.8,476.1,18231,30870,615.7,211.7,6625,8516,621.8,193.1,5768,8065,Protoss,Zerg
0b26daeb177248639678e130588b439f,2021-12-20 08:55:59+00:00,DH Masters Last Chance,Blackburn EE,2012,1,PvZ,4905,5610,300,366,22.7,14.7,90,175,146,62,62,146,20,15,69,71,37.59,34.73,0.21,0.17,6.36,9.39,0.1,0.07,2143.6,4276.5,24290,69115,1880.8,2614.4,28270,58423,921.3,4686.4,14750,26578,803.6,2368.0,15920,22147,Protoss,Zerg
5fafdda9ee3f4c58a83612a42a0b2424,2021-12-15 18:00:16+00:00,DH Masters Last Chance,Berlingrad LE,633,2,ZvZ,3655,3095,258,519,24.5,54.2,82,69,16,22,22,16,35,55,136,140,32.38,53.11,0.29,0.11,7.36,8.95,0.12,0.05,1740.6,295.2,5300,18635,1478.2,114.8,3675,15985,366.4,61.2,1450,3164,375.3,108.3,1225,3464,Zerg,Zerg
b7af9d45e0354933a91b9029fc9fb75a,2022-02-24 04:12:19+00:00,IEM Katowice,[ESL] Hardwire,549,2,TvP,3101,3269,298,310,56.9,24.3,57,59,1,1,1,1,70,35,120,126,46.06,35.8,0.17,0.21,5.54,7.91,0.11,0.05,1659.1,295.9,4075,14750,1537.7,172.3,2200,13905,313.6,170.0,950,2114,345.5,171.6,400,2477,Protoss,Terran
4ce49b90e77445abb144cf7005a23af4,2021-09-29 21:06:10+00:00,DH Masters Winter,Jagannatha LE,1179,2,PvZ,4254,3459,494,306,16.8,34.5,136,96,34,61,61,34,45,50,133,134,29.9,37.69,0.13,0.18,14.86,7.16,0.02,0.05,2051.8,434.7,21100,39985,1711.3,344.5,12000,33185,824.8,690.5,9175,14869,631.3,179.2,5850,10964,Zerg,Protoss
25f02313466240b490cdb199d17fa939,2022-02-25 20:09:31+00:00,IEM Katowice,[ESL] Glittering Ashes,1222,2,TvP,3095,3532,344,309,33.0,26.2,100,86,46,90,90,46,50,85,125,129,44.13,42.7,0.19,0.18,6.49,6.03,0.08,0.08,1587.0,230.1,15725,30465,1817.9,206.3,18350,36482,536.0,262.6,7450,9254,669.1,519.5,7575,12080,Protoss,Terran
f9d7751155534153afb1407b2851637d,2022-02-24 23:48:59+00:00,IEM Katowice,[ESL] Blackburn,1155,1,TvP,4165,4534,424,433,46.5,38.3,91,90,57,30,30,57,45,45,129,130,39.58,42.7,0.15,0.19,9.43,9.09,0.1,0.09,1883.8,302.1,16803,34471,2088.6,644.2,22180,40570,652.6,478.4,5911,10546,667.1,378.0,7300,10986,Terran,Protoss
e3f3000d515247ae9dcf606a1e542554,2022-02-25 17:51:21+00:00,IEM Katowice,[ESL] Berlingrad,398,2,PvP,1426,1824,319,345,32.9,34.4,26,40,3,0,0,3,15,30,98,111,35.19,47.07,0.19,0.15,7.82,6.4,0.08,0.05,904.9,153.2,1150,6770,1113.4,147.5,750,8245,256.7,132.9,700,1492,232.0,110.5,300,1486,Protoss,Protoss
828e7199dc0b47df9b576764a2e21c8a,2021-12-18 02:44:13+00:00,DH Masters Last Chance,Glittering Ashes LE,1123,2,PvZ,3190,4075,264,429,38.1,39.2,77,131,61,47,47,61,55,95,107,129,37.76,44.92,0.28,0.17,6.38,8.11,0.08,0.08,1334.4,311.1,8925,24610,1632.4,265.3,11025,29640,414.7,188.0,4550,7250,522.8,192.3,4950,8464,Protoss,Zerg
80fc799d1c394fc480e7e3cba79bde58,2021-10-11 00:37:40+00:00,DH Masters Winter,2000 Atmospheres LE,563,1,TvP,3644,3202,316,415,32.1,75.9,69,60,16,1,1,16,5,30,130,124,33.99,48.16,0.2,0.12,7.79,7.61,0.06,0.12,1701.4,211.2,3150,16385,1451.9,150.5,4550,13990,453.5,232.8,875,3710,359.6,183.2,1175,2897,Protoss,Terran
98f06802d2fb48a9a37fd2be76a080c9,2022-02-23 21:55:05+00:00,IEM Katowice,[ESL] Curious Minds,839,2,TvP,3364,4064,390,352,33.6,32.4,72,102,19,39,39,19,55,35,110,139,42.38,37.24,0.16,0.19,8.18,8.2,0.06,0.06,1481.0,183.1,9825,20597,2224.3,385.3,15250,30770,489.9,427.7,3575,6106,277.9,176.6,1750,2908,Terran,Protoss
